bar_close_et,bar_close_utc,session_date,dir_buy_vol_30s,dir_sell_vol_30s,n_trades_30s,locked_spread_count,day_side_disagree_rate,median_buy_100,median_sell_100,price_at_T,atr_at_T,price_at_T_plus_30s,price_move_30s,p4_threshold,p4_long,p4_short,p2_long,p2_short,delta_ratio_long,delta_ratio_short,p3_long,p3_short,trcb_long,trcb_short,fwd_ret_1min_raw,fwd_ret_1min_signed,fwd_ret_5min_raw,fwd_ret_5min_signed,fwd_ret_15min_raw,fwd_ret_15min_signed,fwd_ret_25min_raw,fwd_ret_25min_signed,hour_only
2025-09-08 09:35:00-04:00,2025-09-08 13:35:00+00:00,2025-09-08,1642,1543,1022,0,0.0,,,6505.25,,6506.0,0.75,,False,False,False,False,1.0641607258587167,0.9397076735688186,False,False,False,False,1.25,,-5.0,,-1.0,,-3.75,,9
2025-09-08 09:40:00-04:00,2025-09-08 13:40:00+00:00,2025-09-08,2459,1821,1276,0,0.0,,,6500.25,,6502.75,2.5,,False,False,False,False,1.3503569467325645,0.7405449369662465,False,False,False,False,2.75,,4.0,,5.75,,0.5,,9
2025-09-08 09:45:00-04:00,2025-09-08 13:45:00+00:00,2025-09-08,1517,1669,1108,0,0.0,,,6504.25,,6502.5,-1.75,,False,False,False,False,0.9089275014979029,1.1001977587343441,False,False,False,False,-1.75,,0.0,,-2.75,,-1.75,,9
2025-09-08 09:50:00-04:00,2025-09-08 13:50:00+00:00,2025-09-08,979,1282,874,0,0.0,,,6504.25,,6502.75,-1.5,,False,False,False,False,0.7636505460218409,1.3094994892747702,False,False,False,False,-3.25,,1.75,,-3.5,,-4.25,,9
2025-09-08 09:55:00-04:00,2025-09-08 13:55:00+00:00,2025-09-08,993,869,642,0,0.0,,,6506.0,,6506.0,0.0,,False,False,False,False,1.142692750287687,0.8751258811681772,False,False,False,False,1.75,,-4.5,,-3.5,,-9.25,,9
2025-09-08 10:00:00-04:00,2025-09-08 14:00:00+00:00,2025-09-08,1358,1634,1112,0,0.0,,,6501.5,,6500.0,-1.5,,False,False,False,False,0.8310893512851897,1.203240058910162,False,False,False,False,-1.25,,-0.75,,-1.5,,-3.25,,10
2025-09-08 10:05:00-04:00,2025-09-08 14:05:00+00:00,2025-09-08,737,1074,603,0,0.0,,,6500.75,,6500.0,-0.75,,False,False,False,False,0.686219739292365,1.457259158751696,False,False,False,False,0.5,,1.75,,-4.0,,5.0,,10
2025-09-08 10:10:00-04:00,2025-09-08 14:10:00+00:00,2025-09-08,602,537,399,0,0.0,,,6502.5,,6503.25,0.75,,False,False,False,False,1.1210428305400373,0.8920265780730897,False,False,False,False,-0.5,,-2.5,,-4.25,,3.75,,10
2025-09-08 10:15:00-04:00,2025-09-08 14:15:00+00:00,2025-09-08,648,777,468,0,0.0,,,6500.0,,6500.0,0.0,,False,False,False,False,0.833976833976834,1.1990740740740742,False,False,False,False,0.75,,-3.25,,5.75,,9.25,,10
2025-09-08 10:20:00-04:00,2025-09-08 14:20:00+00:00,2025-09-08,857,855,579,0,0.0,,,6496.75,,6496.25,-0.5,,False,False,False,False,1.0023391812865496,0.9976662777129521,False,False,False,False,0.25,,1.5,,9.5,,14.5,,10
2025-09-08 10:25:00-04:00,2025-09-08 14:25:00+00:00,2025-09-08,677,435,310,0,0.0,,,6498.25,,6499.5,1.25,,False,False,False,False,1.5563218390804598,0.6425406203840472,True,False,False,False,0.0,,7.5,,11.0,,13.5,,10
2025-09-08 10:30:00-04:00,2025-09-08 14:30:00+00:00,2025-09-08,2257,1351,991,0,0.0,,,6505.75,4.2456632044483795,6507.75,2.0,1.0614158011120949,True,False,False,False,1.6706143597335308,0.5985821887461231,True,False,False,False,2.25,,0.5,,5.5,,7.25,,10
2025-09-08 10:35:00-04:00,2025-09-08 14:35:00+00:00,2025-09-08,446,488,273,0,0.0,,,6506.25,4.317401546987782,6507.0,0.75,1.0793503867469454,False,False,False,False,0.9139344262295082,1.094170403587444,False,False,False,False,0.5,,3.0,,5.5,,5.5,,10
2025-09-08 10:40:00-04:00,2025-09-08 14:40:00+00:00,2025-09-08,549,504,339,0,0.0,,,6509.25,4.401872865060083,6509.0,-0.25,1.1004682162650208,False,False,False,False,1.0892857142857142,0.9180327868852459,False,False,False,False,0.0,,2.0,,3.75,,4.5,,10
2025-09-08 10:45:00-04:00,2025-09-08 14:45:00+00:00,2025-09-08,884,789,449,0,0.0,,,6511.25,4.355310517555791,6511.25,0.0,1.0888276293889478,False,False,False,False,1.120405576679341,0.8925339366515838,False,False,False,False,-0.75,,0.5,,0.5,,3.0,,10
2025-09-08 10:50:00-04:00,2025-09-08 14:50:00+00:00,2025-09-08,799,1106,562,0,0.0,,,6511.75,4.258502623444664,6510.25,-1.5,1.064625655861166,False,True,False,False,0.7224231464737794,1.3842302878598247,False,False,False,False,-0.25,,1.25,,2.0,,3.25,,10
2025-09-08 10:55:00-04:00,2025-09-08 14:55:00+00:00,2025-09-08,417,363,238,0,0.0,,,6513.0,4.186466721770045,6513.5,0.5,1.0466166804425112,False,False,False,False,1.1487603305785123,0.8705035971223022,False,False,False,False,0.75,,-1.25,,1.25,,-2.75,,10
2025-09-08 11:00:00-04:00,2025-09-08 15:00:00+00:00,2025-09-08,789,731,394,0,0.0,,,6511.75,4.208861955929327,6513.25,1.5,1.0522154889823319,True,False,False,False,1.079343365253078,0.926489226869455,False,False,False,False,1.5,,2.0,,3.25,,0.25,,11
2025-09-08 11:05:00-04:00,2025-09-08 15:05:00+00:00,2025-09-08,276,442,236,0,0.0,,,6513.75,4.122514673362947,6513.0,-0.75,1.0306286683407369,False,False,False,False,0.6244343891402715,1.6014492753623188,False,True,False,False,-0.25,,0.5,,-3.5,,2.25,,11
2025-09-08 11:10:00-04:00,2025-09-08 15:10:00+00:00,2025-09-08,575,352,216,0,0.0,,,6514.25,3.9530493395513084,6514.5,0.25,0.9882623348878271,False,False,False,False,1.6335227272727273,0.6121739130434782,True,False,False,False,1.25,,0.75,,-2.25,,-1.5,,11
2025-09-08 11:15:00-04:00,2025-09-08 15:15:00+00:00,2025-09-08,374,728,338,0,0.0,,,6515.0,3.849260101011929,6513.75,-1.25,0.9623150252529823,False,True,False,False,0.5137362637362637,1.946524064171123,False,True,False,False,-1.75,,-4.75,,1.0,,-3.75,,11
2025-09-08 11:20:00-04:00,2025-09-08 15:20:00+00:00,2025-09-08,286,395,213,0,0.0,,,6510.25,3.9671700937967915,6509.75,-0.5,0.9917925234491979,False,False,False,False,0.7240506329113924,1.381118881118881,False,False,False,False,0.25,,1.75,,2.5,,-0.25,,11
2025-09-08 11:25:00-04:00,2025-09-08 15:25:00+00:00,2025-09-08,624,533,295,0,0.0,,,6512.0,3.9159436585255922,6513.0,1.0,0.9789859146313981,True,False,False,False,1.170731707317073,0.8541666666666666,False,False,False,False,0.75,,4.0,,-0.75,,-5.5,,11
2025-09-08 11:30:00-04:00,2025-09-08 15:30:00+00:00,2025-09-08,1117,965,397,0,0.0,,,6516.0,3.993376254345193,6516.0,0.0,0.9983440635862982,False,False,False,False,1.1575129533678756,0.8639212175470009,False,False,False,False,-0.25,,-3.25,,-6.0,,-6.0,,11
2025-09-08 11:35:00-04:00,2025-09-08 15:35:00+00:00,2025-09-08,543,528,326,0,0.0,,,6512.75,4.011706521891965,6514.0,1.25,1.0029266304729914,True,False,False,False,1.0284090909090908,0.9723756906077348,False,False,False,False,0.5,,-1.5,,-6.25,,-1.0,,11
2025-09-08 11:40:00-04:00,2025-09-08 15:40:00+00:00,2025-09-08,424,712,344,0,0.0,,,6511.25,4.010870341756825,6510.0,-1.25,1.0027175854392063,False,True,False,False,0.5955056179775281,1.679245283018868,False,True,False,False,-0.5,,-1.25,,-1.25,,-2.0,,11
2025-09-08 11:45:00-04:00,2025-09-08 15:45:00+00:00,2025-09-08,354,377,234,0,0.0,,,6510.0,3.885093888774195,6510.0,0.0,0.9712734721935488,False,False,False,False,0.9389920424403183,1.0649717514124293,False,False,False,False,-1.5,,-3.5,,1.75,,-4.5,,11
2025-09-08 11:50:00-04:00,2025-09-08 15:50:00+00:00,2025-09-08,437,679,339,0,0.0,,,6506.5,4.143301468147467,6505.5,-1.0,1.0358253670368667,False,False,False,False,0.6435935198821797,1.5537757437070938,False,True,False,False,1.0,,3.5,,2.75,,-1.25,,11
2025-09-08 11:55:00-04:00,2025-09-08 15:55:00+00:00,2025-09-08,722,328,327,0,0.0,,,6510.0,4.240208506136933,6511.5,1.5,1.0600521265342333,True,False,False,False,2.201219512195122,0.45429362880886426,True,False,False,False,1.0,,1.75,,-4.5,,-5.5,,11
2025-09-08 12:00:00-04:00,2025-09-08 16:00:00+00:00,2025-09-08,670,933,414,0,0.0,,,6511.75,4.15162218427001,6510.25,-1.5,1.0379055460675024,False,True,False,False,0.7181136120042872,1.3925373134328358,False,False,False,False,-2.0,,-2.5,,-6.5,,-8.5,,12
2025-09-08 12:05:00-04:00,2025-09-08 16:05:00+00:00,2025-09-08,485,557,316,0,0.0,,,6509.25,4.176506313965009,6508.5,-0.75,1.0441265784912523,False,False,False,False,0.8707360861759426,1.1484536082474226,False,False,False,False,-1.0,,-3.75,,-4.75,,-5.0,,12
2025-09-08 12:10:00-04:00,2025-09-08 16:10:00+00:00,2025-09-08,595,507,274,0,0.0,,,6505.5,4.2174701486817945,6506.0,0.5,1.0543675371704486,False,False,False,False,1.1735700197238659,0.8521008403361344,False,False,False,False,0.75,,-0.25,,-2.25,,-5.0,,12
2025-09-08 12:15:00-04:00,2025-09-08 16:15:00+00:00,2025-09-08,652,650,359,0,0.0,,,6505.25,4.112650852347381,6505.5,0.25,1.0281627130868451,False,False,False,False,1.003076923076923,0.9969325153374233,False,False,False,False,0.25,,-0.75,,-1.0,,-6.0,,12
2025-09-08 12:20:00-04:00,2025-09-08 16:20:00+00:00,2025-09-08,455,679,310,0,0.0,,,6504.5,4.0867472200368535,6503.5,-1.0,1.0216868050092134,False,False,False,False,0.6701030927835051,1.4923076923076923,False,False,False,False,0.0,,-1.25,,-4.0,,-3.0,,12
