bucket,n_long,n_short,n_total,trigger_rate,5m_n,5m_mean,5m_t,5m_pct_pos,5m_median,5m_std,25m_n,25m_mean,25m_t,25m_pct_pos,25m_median,25m_std
P2 alone,5924,5911,11835,0.49357744599215947,11831,0.1739497929169132,3.1546524592758933,0.5062970163130758,0.25,5.9976776734616415,11813,0.22909083213408957,1.979016113028918,0.50596800135444,0.25,12.581675546310162
P3 alone,719,703,1422,0.059304362332137796,1420,1.341725352112676,12.183617291761351,0.6563380281690141,1.0,4.14984188232088,1420,1.202112676056338,5.0491859281386855,0.5683098591549296,1.0,8.97156040874183
P4 alone,1659,1624,3283,0.13691717407623655,3282,2.557129798903108,25.940110534972693,0.6971358927483242,2.0,5.647421972484068,3273,2.8688512068438743,13.3310024675175,0.6070882981973724,2.25,12.311705485275164
P2 AND P3,475,425,900,0.037534406539327714,898,1.6467149220489978,10.891317489431962,0.6681514476614699,1.25,4.5308133458876,898,1.616369710467706,5.134191527292176,0.5779510022271714,1.25,9.434237523108374
P2 AND P4,1293,1274,2567,0.1070564684293936,2566,2.728078721745908,23.007661611577557,0.6971940763834762,2.25,6.006379143902855,2561,2.970519328387349,11.677078201937716,0.6048418586489652,2.5,12.873688103812954
P3 AND P4,350,334,684,0.028526148969889066,683,2.2906295754026353,13.302705170636274,0.7452415812591509,1.75,4.500131967645037,682,2.1033724340175954,6.083279701864274,0.6158357771260997,1.75,9.029642995904254
P2 AND P3 AND P4 (v2),279,247,526,0.02193677537742931,525,2.552380952380952,12.21652232417171,0.7561904761904762,2.0,4.787155708587559,524,2.4002862595419847,5.72807798949735,0.6145038167938931,2.0,9.592233898353847
Unconditional (always-long),11989,0,11989,1.0,11984,0.0011682242990654205,0.02497500746271953,0.4869826435246996,0.0,5.1206077458926025,11964,0.051801237044466736,0.5034674933911234,0.509695753928452,0.25,11.253999664920205
