timestamp,open,high,low,close,price_levels,absorption
1773153000,25003.75,25005.25,25001.75,25005.25,"{""25003.75"": [4, 0], ""25003.5"": [2, 1], ""25003.0"": [0, 3], ""25002.5"": [2, 1], ""25002.75"": [1, 1], ""25003.25"": [4, 1], ""25002.0"": [0, 1], ""25001.75"": [0, 1], ""25004.25"": [3, 0], ""25004.0"": [3, 0], ""25004.75"": [1, 0], ""25005.25"": [2, 0]}",-0.1758584807492196
1773153001,25006.0,25009.75,25005.5,25009.0,"{""25006.0"": [5, 3], ""25006.25"": [2, 1], ""25005.5"": [0, 3], ""25007.0"": [2, 0], ""25007.25"": [1, 0], ""25007.75"": [1, 0], ""25008.0"": [2, 2], ""25008.5"": [3, 0], ""25008.75"": [3, 3], ""25009.0"": [5, 0], ""25009.25"": [4, 0], ""25009.5"": [6, 1], ""25009.75"": [5, 0]}",-0.25
1773153002,25009.75,25019.0,25009.75,25018.25,"{""25009.75"": [1, 0], ""25010.25"": [3, 0], ""25010.0"": [0, 1], ""25010.75"": [1, 1], ""25011.0"": [2, 1], ""25011.75"": [3, 1], ""25011.5"": [0, 1], ""25012.25"": [3, 1], ""25012.5"": [3, 2], ""25012.0"": [0, 1], ""25012.75"": [2, 5], ""25013.0"": [7, 4], ""25013.25"": [3, 4], ""25013.5"": [11, 11], ""25013.75"": [6, 6], ""25014.0"": [8, 10], ""25014.25"": [10, 3], ""25014.5"": [13, 6], ""25014.75"": [6, 6], ""25015.0"": [13, 10], ""25015.25"": [8, 7], ""25015.5"": [11, 4], ""25015.75"": [6, 2], ""25016.0"": [5, 0], ""25016.25"": [2, 2], ""25016.5"": [2, 2], ""25016.75"": [4, 7], ""25017.0"": [3, 4], ""25017.25"": [7, 6], ""25017.5"": [7, 2], ""25017.75"": [4, 1], ""25018.0"": [2, 1], ""25018.5"": [2, 0], ""25018.25"": [2, 4], ""25018.75"": [3, 0], ""25019.0"": [1, 0]}",-0.02938775510204082
1773153003,25018.75,25025.0,25017.5,25023.5,"{""25018.75"": [3, 2], ""25018.5"": [2, 6], ""25018.25"": [3, 2], ""25017.5"": [0, 1], ""25017.75"": [0, 1], ""25018.0"": [1, 2], ""25019.0"": [1, 1], ""25019.75"": [1, 1], ""25020.0"": [7, 0], ""25020.25"": [2, 3], ""25020.5"": [3, 1], ""25021.0"": [2, 0], ""25021.25"": [1, 0], ""25021.5"": [4, 0], ""25021.75"": [4, 1], ""25022.0"": [9, 3], ""25019.25"": [1, 3], ""25019.5"": [1, 0], ""25020.75"": [9, 0], ""25022.25"": [3, 3], ""25022.75"": [0, 1], ""25023.75"": [5, 7], ""25024.0"": [7, 1], ""25023.5"": [2, 8], ""25023.0"": [0, 5], ""25024.25"": [13, 0], ""25024.5"": [7, 0], ""25024.75"": [8, 0], ""25025.0"": [10, 0], ""25023.25"": [3, 3], ""25022.5"": [2, 0]}",-0.12187948601239453
1773153004,25022.25,25025.5,25020.0,25024.25,"{""25022.25"": [1, 3], ""25022.0"": [3, 2], ""25021.0"": [0, 1], ""25020.75"": [3, 2], ""25020.25"": [0, 2], ""25020.0"": [0, 1], ""25021.25"": [1, 1], ""25021.5"": [0, 1], ""25021.75"": [1, 0], ""25022.5"": [4, 3], ""25022.75"": [1, 5], ""25023.0"": [3, 7], ""25023.25"": [1, 5], ""25023.5"": [3, 0], ""25023.75"": [4, 5], ""25024.0"": [5, 7], ""25024.25"": [14, 6], ""25024.5"": [13, 4], ""25024.75"": [13, 0], ""25025.0"": [10, 0], ""25025.25"": [2, 0], ""25025.5"": [1, 0]}",-0.041167821886158376
1773153005,25023.0,25026.0,25015.5,25016.75,"{""25023.0"": [5, 4], ""25022.5"": [0, 5], ""25023.25"": [1, 0], ""25023.5"": [3, 3], ""25024.0"": [2, 5], ""25022.75"": [0, 8], ""25023.75"": [1, 0], ""25024.25"": [1, 2], ""25025.25"": [1, 0], ""25025.5"": [2, 0], ""25025.75"": [1, 0], ""25026.0"": [1, 0], ""25022.25"": [0, 1], ""25021.75"": [1, 1], ""25021.5"": [0, 3], ""25022.0"": [2, 0], ""25021.25"": [0, 2], ""25020.75"": [0, 3], ""25020.5"": [0, 1], ""25020.0"": [0, 1], ""25019.25"": [0, 1], ""25018.75"": [0, 2], ""25018.5"": [1, 3], ""25018.25"": [1, 2], ""25018.0"": [0, 1], ""25019.0"": [1, 0], ""25017.75"": [1, 5], ""25017.5"": [2, 5], ""25017.25"": [2, 1], ""25016.0"": [0, 1], ""25015.75"": [0, 1], ""25015.5"": [0, 1], ""25016.25"": [2, 0], ""25016.5"": [3, 0], ""25016.75"": [1, 1], ""25017.0"": [0, 1]}",0.0858075706560555
1773153006,25016.5,25016.75,25015.5,25015.5,"{""25016.5"": [2, 1], ""25016.25"": [1, 2], ""25015.5"": [0, 2], ""25016.75"": [2, 1], ""25016.0"": [0, 1]}",0.027777777777777776
1773153007,25017.5,25018.0,25012.5,25012.5,"{""25017.5"": [2, 0], ""25018.0"": [1, 0], ""25015.75"": [0, 1], ""25015.5"": [1, 2], ""25015.25"": [0, 2], ""25014.25"": [0, 1], ""25014.0"": [1, 2], ""25013.75"": [0, 15], ""25012.5"": [0, 1]}",0.42925089179548154
1773153008,25013.0,25015.75,25012.0,25014.5,"{""25013.0"": [0, 1], ""25012.5"": [0, 1], ""25012.25"": [0, 4], ""25012.0"": [0, 1], ""25013.5"": [1, 0], ""25013.75"": [1, 0], ""25014.0"": [1, 1], ""25014.25"": [2, 1], ""25014.5"": [3, 1], ""25014.75"": [1, 0], ""25015.0"": [3, 0], ""25015.25"": [2, 1], ""25015.5"": [1, 1], ""25015.75"": [1, 0]}",-0.02040816326530612
1773153009,25014.0,25020.0,25013.75,25019.25,"{""25014.0"": [2, 0], ""25013.75"": [1, 0], ""25015.75"": [1, 0], ""25016.0"": [1, 0], ""25017.75"": [1, 1], ""25018.5"": [2, 2], ""25019.0"": [1, 0], ""25020.0"": [1, 0], ""25019.75"": [1, 1], ""25019.5"": [0, 2], ""25019.25"": [0, 1]}",-0.04938271604938271
1773153010,25020.0,25023.25,25019.5,25021.25,"{""25020.0"": [3, 1], ""25020.25"": [4, 0], ""25019.5"": [0, 1], ""25020.5"": [1, 2], ""25020.75"": [2, 0], ""25021.0"": [2, 0], ""25021.25"": [1, 2], ""25021.5"": [1, 2], ""25021.75"": [3, 3], ""25022.0"": [2, 2], ""25022.25"": [3, 2], ""25022.5"": [2, 1], ""25022.75"": [1, 3], ""25023.25"": [1, 0], ""25023.0"": [1, 0], ""25019.75"": [0, 1]}",-0.02218198279764599
1773153011,25021.5,25022.25,25020.75,25021.0,"{""25021.5"": [1, 2], ""25021.75"": [0, 1], ""25022.0"": [1, 1], ""25022.25"": [1, 0], ""25021.25"": [1, 1], ""25020.75"": [1, 1], ""25021.0"": [0, 1]}",0.027777777777777776
1773153012,25021.25,25021.25,25019.5,25020.25,"{""25021.25"": [3, 4], ""25020.75"": [1, 1], ""25019.5"": [0, 1], ""25020.5"": [1, 3], ""25020.25"": [1, 0]}",0.04000000000000001
