session_date,open_px,midday_px,afternoon_px,last_hr_start_px,last_hr_end_px,ctrl_exit_px,morning_ret,midday_ret,last_hour_ret,full_session_ret,am_total_ret
2025-09-08,6504.5,6511.75,6502.0,6499.75,6507.25,6502.25,0.0011139922404315586,-0.0014984154181945258,0.0011532253142470955,0.00042269487823633813,-0.0003844231777630657
2025-09-09,6507.25,6499.75,6515.75,6516.0,6521.5,6521.75,-0.0011532253142470218,0.002458608283918827,0.0008437200884020531,0.002187470890487713,0.0013053829696717519
2025-09-10,6553.25,6549.75,6533.0,6536.5,6539.25,6539.25,-0.0005342288152700886,-0.0025606251212016385,0.00042062597411945084,-0.0021386298011879536,-0.0030948539364716774
2025-09-11,6557.75,6588.75,6589.75,6591.5,6591.5,6598.0,0.004716092869930324,0.00015176234046662253,0.0,0.005133383898538434,0.004867855210396975
2025-09-12,6589.75,6589.75,6599.0,6602.0,6587.5,6597.0,0.0,0.001402710873538334,-0.0021987195635205696,-0.0003414976602654262,0.001402710873538334
2025-09-15,6609.25,6619.0,6611.75,6612.75,6620.25,6614.0,0.0014741181585746093,-0.0010959319351728817,0.0011335299332058512,0.0016629506081037124,0.0003781862234016079
2025-09-16,6627.0,6609.0,6614.25,6618.5,6611.25,6615.5,-0.002719856617774014,0.0007940559659470169,-0.001096014773635792,-0.002379469708037145,-0.0019258006518270583
2025-09-17,6612.0,6604.25,6615.5,6588.5,6604.5,6607.0,-0.0011727987724680785,0.0017019993140189788,0.0024255298786113955,-0.0011349450769966333,0.0005292005415508956
2025-09-18,6629.25,6636.0,6638.0,6642.75,6633.5,6639.75,0.0010176967011681453,0.0003013409695848558,-0.0013934660008306154,0.0006408927478044961,0.0013190376707529188
2025-09-22,6706.0,6729.5,6749.75,6752.25,6751.5,6753.5,0.0034981986475964215,0.003004620469880098,-0.00011108025559880623,0.006762054374923171,0.006502819117476687
2025-09-23,6750.25,6738.25,6708.75,6703.0,6715.5,6716.0,-0.0017792939416371985,-0.004387602785082585,0.001863099991172149,-0.005161253868628512,-0.006166896726719854
2025-09-24,6727.25,6685.25,6685.75,6693.25,6692.75,6694.0,-0.006262835009247875,7.478872189568752e-05,-7.470491561821847e-05,-0.005141591058621108,-0.006188046287352242
2025-09-25,6660.0,6669.75,6650.0,6658.75,6660.5,6658.25,0.001462893413424325,-0.0029655232979592877,0.0002627775603086693,7.507225708268382e-05,-0.0015026298845350185
2025-09-26,6673.5,6665.5,6697.0,6698.0,6696.0,6697.5,-0.0011994903604745611,0.004714695356318424,-0.0002986411848386882,0.003365873255105113,0.0035152049958439933
2025-09-29,6722.25,6711.25,6713.0,6711.5,6714.0,6710.75,-0.0016376971688014648,0.0002607222019722056,0.00037242561228953457,-0.0012280213656004912,-0.0013769749668292857
2025-09-30,6706.75,6707.25,6715.0,6721.0,6737.75,6739.75,7.454897871360603e-05,0.0011547990629378261,0.002489088310276818,0.004611559364555919,0.0012293480416512696
2025-10-01,6706.75,6745.25,6763.0,6766.75,6760.25,6764.0,0.005724071531514606,0.002628025127738562,-0.0009610409551686844,0.007945389686017405,0.008352096659253292
2025-10-02,6779.0,6757.25,6769.75,6768.25,6767.75,6763.25,-0.0032135958951769543,0.0018481560668294243,-7.387706859146858e-05,-0.0016609153614297865,-0.0013654398283474542
2025-10-03,6772.0,6797.75,6778.5,6771.75,6766.5,6768.5,0.0037952108045869763,-0.0028358365381687756,-0.000775580339137952,-0.0008124977364655714,0.000959374266418089
2025-10-06,6788.5,6790.5,6794.75,6793.25,6788.25,6791.75,0.00029457250378715457,0.0006256786056416631,-0.0007362957296157921,-3.68276649460801e-05,0.0009202511094287471
2025-10-07,6797.25,6752.75,6757.0,6760.75,6763.25,6764.0,-0.006568289296881916,0.0006291752460557664,0.0003697131068436612,-0.005014574867720232,-0.005939114050826147
2025-10-08,6773.25,6799.75,6799.75,6793.5,6801.25,6801.75,0.0039048159834594214,0.0,0.0011401461357567965,0.004125388001117233,0.0039048159834594214
2025-10-09,6805.5,6782.75,6767.0,6768.0,6780.5,6780.25,-0.0033484843532813713,-0.0023247671866213284,0.0018452232419408252,-0.003680263244128286,-0.0056732515399027395
2025-10-10,6788.0,6679.25,6655.0,6636.0,6596.0,6597.25,-0.01615064157588732,-0.003637253949017598,-0.006045967630845578,-0.028692942674627374,-0.019787895524904932
2025-10-13,6670.25,6694.75,6704.5,6687.0,6694.5,6700.25,0.0036662966619571487,0.0014553055911046965,0.0011209506834558161,0.003628953270799485,0.005121602253061992
2025-10-14,6634.0,6688.25,6715.25,6713.5,6684.75,6682.5,0.008144314941685776,0.004028803897538257,-0.004291611833826344,0.0076208721719385995,0.012173118839224048
2025-10-15,6732.0,6715.75,6705.5,6720.5,6715.75,6699.75,-0.002416762344531186,-0.001527428815170536,-0.0007070425450376197,-0.002416762344531186,-0.003944191159701834
2025-10-16,6731.5,6707.0,6644.75,6667.5,6668.75,6671.0,-0.003646244319552332,-0.009324687932512172,0.0001874589938941192,-0.009365565369226041,-0.012970932252064499
2025-10-17,6654.5,6677.25,6707.0,6704.0,6705.25,6705.25,0.0034129085952795284,0.004445530977846953,0.00018643846652426695,0.007597484101832385,0.007858439573126498
2025-10-20,6733.5,6767.0,6779.5,6777.25,6773.5,6778.5,0.004962789342129097,0.0018454956701384432,-0.0005534749140423641,0.005922872130694595,0.0068082850122673936
2025-10-21,6774.25,6781.75,6782.75,6779.0,6772.75,6783.0,0.0011065212105700226,0.00014744369520610086,-0.0009223901626176428,-0.00022145124472281813,0.0012539649057759772
2025-10-22,6779.0,6748.75,6714.25,6723.25,6738.0,6738.5,-0.004472295898468886,-0.005125169058697288,0.002191476408677766,-0.006066453464467486,-0.009597464957166173
2025-10-23,6739.25,6760.75,6783.5,6784.5,6774.5,6774.5,0.0031851878781054156,0.003359362296926404,-0.0014750352995216791,0.0052169205361542095,0.006544550175031682
2025-10-24,6820.75,6836.25,6837.75,6838.0,6828.0,6832.0,0.0022698991953193012,0.00021939447213924814,-0.0014634862849153437,0.0010623684486679324,0.0024892936674586934
2025-10-27,6883.0,6890.25,6894.5,6897.75,6908.5,6911.0,0.0010527654213213407,0.00061662346211031,0.0015572660458074816,0.003697934098360026,0.0016693888834316932
2025-10-28,6925.75,6911.0,6936.0,6937.0,6926.75,6927.0,-0.0021320043488689067,0.0036108943689833616,-0.0014786766737170298,0.00014437827132105362,0.0014788900201146086
2025-10-29,6942.0,6934.5,6934.75,6915.75,6926.5,6920.25,-0.0010809643253417924,3.605097608409864e-05,0.0015532160105733999,-0.002235282323797871,-0.001044913349257687
2025-10-30,6893.0,6887.5,6883.5,6877.25,6853.25,6856.25,-0.0007982294244819208,-0.0005809309581719913,-0.0034958704260172205,-0.005783411591661772,-0.001379160382653954
2025-10-31,6902.0,6872.5,6874.5,6877.75,6870.25,6881.25,-0.004283283618547963,0.00029097257788762395,-0.001091067899915324,-0.004610729001765115,-0.0039923110406602765
2025-11-03,6908.25,6884.75,6883.25,6885.5,6884.75,6880.0,-0.0034075288535778355,-0.000217896572622747,-0.00010893048430373315,-0.0034075288535778355,-0.0036254254262005417
2025-11-04,6810.25,6831.25,6811.5,6801.5,6803.0,6798.75,0.0030788427355824565,-0.0028953127187332137,0.00022051527157598713,-0.0010651388442053644,0.00018353001684936804
2025-11-05,6798.5,6842.5,6851.25,6851.5,6824.0,6835.25,0.006451162319093372,0.0012779554454919874,-0.004021796214740599,0.0037438105757744513,0.007729117764585523
