sample,side,side_label,cell,gamma_regime,entry_time,exit_time,entry_px,exit_px,atr_at_entry,exit_reason,bars_held,gross_points,gross_dollars,cost_dollars,net_dollars,microprice_evaluable,microprice_fired,microprice_exit_time,microprice_exit_px,microprice_net,n_book_rows_in_window,arm3_net_dollars,arm3_exit_reason
IS,1,LONG,LONG_long,long,2026-04-08 13:30:00+00:00,2026-04-08 13:50:00+00:00,6833.75,6807.375,13.178571428571429,stop,4,-26.375,-1318.75,23.75,-1323.75,True,True,2026-04-08 13:31:17+00:00,6824.125,-505.0,983961,-505.0,microprice
IS,-1,SHORT,SHORT_short,short,2026-04-08 17:25:00+00:00,2026-04-08 17:50:00+00:00,6817.625,6820.125,4.464285714285714,time,5,-2.5,-125.0,17.5,-130.0,True,True,2026-04-08 17:37:22+00:00,6819.625,-117.5,396999,-117.5,microprice
IS,-1,SHORT,SHORT_short,short,2026-04-08 18:20:00+00:00,2026-04-08 18:45:00+00:00,6812.125,6804.375,6.571428571428571,time,5,7.75,387.5,17.5,382.5,True,True,2026-04-08 18:22:42+00:00,6814.375,-130.0,536664,-130.0,microprice
IS,-1,SHORT,SHORT_short,short,2026-04-08 19:00:00+00:00,2026-04-08 19:10:00+00:00,6793.125,6807.875,7.303571428571429,stop,2,-14.75,-737.5,17.5,-742.5,True,True,2026-04-08 19:02:11+00:00,6799.625,-342.5,214617,-342.5,microprice
IS,1,LONG,LONG_long,long,2026-04-08 19:15:00+00:00,2026-04-08 19:40:00+00:00,6808.125,6811.875,8.0,time,5,3.75,187.5,17.5,182.5,True,True,2026-04-08 19:17:59+00:00,6804.125,-217.5,483538,-217.5,microprice
IS,1,LONG,LONG_short,short,2026-04-09 13:30:00+00:00,2026-04-09 13:55:00+00:00,6816.0,6811.625,7.732142857142857,time,5,-4.375,-218.75,23.75,-223.75,True,True,2026-04-09 13:31:07+00:00,6809.625,-342.5,806471,-342.5,microprice
IS,1,LONG,LONG_short,short,2026-04-09 18:20:00+00:00,2026-04-09 18:45:00+00:00,6857.625,6853.625,6.589285714285714,time,5,-4.0,-200.0,17.5,-205.0,True,True,2026-04-09 18:22:35+00:00,6855.375,-130.0,405848,-130.0,microprice
IS,-1,SHORT,SHORT_long,long,2026-04-09 19:05:00+00:00,2026-04-09 19:30:00+00:00,6859.875,6862.875,6.964285714285714,time,5,-3.0,-150.0,17.5,-155.0,True,True,2026-04-09 19:09:16+00:00,6862.625,-155.0,288477,-155.0,microprice
IS,-1,SHORT,SHORT_long,long,2026-04-10 13:30:00+00:00,2026-04-10 13:55:00+00:00,6877.25,6870.125,5.321428571428571,time,5,7.125,356.25,23.75,351.25,True,False,,,,903294,351.25,time
IS,-1,SHORT,SHORT_short,short,2026-04-10 17:05:00+00:00,2026-04-10 17:30:00+00:00,6850.125,6847.875,5.589285714285714,time,5,2.25,112.5,17.5,107.5,True,True,2026-04-10 17:09:11+00:00,6851.375,-80.0,316622,-80.0,microprice
IS,1,LONG,LONG_short,short,2026-04-10 18:20:00+00:00,2026-04-10 18:45:00+00:00,6857.375,6852.375,4.107142857142857,time,5,-5.0,-250.0,17.5,-255.0,True,True,2026-04-10 18:27:26+00:00,6855.875,-92.5,269385,-92.5,microprice
IS,1,LONG,LONG_long,long,2026-04-10 19:15:00+00:00,2026-04-10 19:30:00+00:00,6861.875,6855.375,3.1964285714285716,stop,3,-6.5,-325.0,17.5,-330.0,True,True,2026-04-10 19:16:03+00:00,6859.875,-117.5,125748,-117.5,microprice
IS,1,LONG,LONG_long,long,2026-04-13 13:30:00+00:00,2026-04-13 13:35:00+00:00,6837.5,6828.75,4.196428571428571,stop,1,-8.75,-437.5,30.0,-442.5,True,True,2026-04-13 13:31:59+00:00,6835.625,-123.75,206174,-123.75,microprice
IS,1,LONG,LONG_long,long,2026-04-13 16:30:00+00:00,2026-04-13 16:55:00+00:00,6875.625,6882.375,6.089285714285714,time,5,6.75,337.5,17.5,332.5,True,True,2026-04-13 16:42:50+00:00,6869.875,-305.0,653474,-305.0,microprice
IS,1,LONG,LONG_long,long,2026-04-14 17:05:00+00:00,2026-04-14 17:30:00+00:00,6993.375,6999.375,3.482142857142857,time,5,6.0,300.0,17.5,295.0,True,False,,,,246659,295.0,time
IS,-1,SHORT,SHORT_long,long,2026-04-14 18:20:00+00:00,2026-04-14 18:45:00+00:00,6992.125,6987.625,3.357142857142857,time,5,4.5,225.0,17.5,220.0,True,False,,,,453112,220.0,time
IS,-1,SHORT,SHORT_short,short,2026-04-14 18:45:00+00:00,2026-04-14 19:05:00+00:00,6987.375,6996.125,4.285714285714286,stop,4,-8.75,-437.5,17.5,-442.5,True,True,2026-04-14 18:55:29+00:00,6988.875,-92.5,243958,-92.5,microprice
IS,-1,SHORT,SHORT_short,short,2026-04-15 16:45:00+00:00,2026-04-15 17:05:00+00:00,7025.625,7033.625,3.892857142857143,stop,4,-8.0,-400.0,17.5,-405.0,True,True,2026-04-15 16:50:09+00:00,7029.375,-205.0,539301,-205.0,microprice
IS,-1,SHORT,SHORT_short,short,2026-04-15 17:45:00+00:00,2026-04-15 18:00:00+00:00,7036.875,7047.375,5.178571428571429,stop,3,-10.5,-525.0,17.5,-530.0,True,True,2026-04-15 17:46:05+00:00,7038.125,-80.0,166430,-80.0,microprice
IS,1,LONG,LONG_long,long,2026-04-15 18:30:00+00:00,2026-04-15 18:55:00+00:00,7047.125,7056.875,4.428571428571429,time,5,9.75,487.5,17.5,482.5,True,False,,,,345795,482.5,time
IS,-1,SHORT,SHORT_short,short,2026-04-15 19:15:00+00:00,2026-04-15 19:40:00+00:00,7056.625,7056.375,3.9107142857142856,time,5,0.25,12.5,17.5,7.5,True,True,2026-04-15 19:21:19+00:00,7057.875,-80.0,329662,-80.0,microprice
IS,-1,SHORT,SHORT_long,long,2026-04-16 16:35:00+00:00,2026-04-16 17:00:00+00:00,7072.125,7069.875,7.142857142857143,time,5,2.25,112.5,17.5,107.5,True,True,2026-04-16 16:37:04+00:00,7074.625,-142.5,499267,-142.5,microprice
IS,1,LONG,LONG_long,long,2026-04-16 17:25:00+00:00,2026-04-16 17:50:00+00:00,7069.375,7075.625,6.857142857142857,time,5,6.25,312.5,17.5,307.5,True,True,2026-04-16 17:27:57+00:00,7067.375,-117.5,330671,-117.5,microprice
IS,-1,SHORT,SHORT_long,long,2026-04-16 17:55:00+00:00,2026-04-16 18:20:00+00:00,7072.375,7065.375,5.178571428571429,time,5,7.0,350.0,17.5,345.0,True,False,,,,515176,345.0,time
IS,1,LONG,LONG_long,long,2026-04-16 19:20:00+00:00,2026-04-16 19:45:00+00:00,7072.625,7074.5,4.928571428571429,time,5,1.875,93.75,23.75,88.75,True,True,2026-04-16 19:24:04+00:00,7070.375,-136.25,275177,-136.25,microprice
IS,-1,SHORT,SHORT_long,long,2026-04-17 13:30:00+00:00,2026-04-17 13:30:00+00:00,7120.5,7129.0,4.178571428571429,stop,0,-8.5,-425.0,30.0,-430.0,False,False,,,,0,-430.0,stop
IS,-1,SHORT,SHORT_long,long,2026-04-17 17:10:00+00:00,2026-04-17 17:20:00+00:00,7175.875,7153.25,5.035714285714286,target,2,22.625,1131.25,11.25,1126.25,True,False,,,,167473,1126.25,target
IS,-1,SHORT,SHORT_short,short,2026-04-17 17:25:00+00:00,2026-04-17 17:50:00+00:00,7158.625,7165.875,5.839285714285714,time,5,-7.25,-362.5,17.5,-367.5,True,True,2026-04-17 17:28:41+00:00,7160.375,-105.0,545358,-105.0,microprice
IS,1,LONG,LONG_long,long,2026-04-17 18:35:00+00:00,2026-04-17 19:00:00+00:00,7165.125,7157.875,6.285714285714286,time,5,-7.25,-362.5,17.5,-367.5,True,True,2026-04-17 18:39:30+00:00,7162.875,-130.0,314392,-130.0,microprice
IS,1,LONG,LONG_long,long,2026-04-20 13:30:00+00:00,2026-04-20 13:55:00+00:00,7150.75,7153.625,5.303571428571429,time,5,2.875,143.75,23.75,138.75,True,True,2026-04-20 13:32:00+00:00,7148.625,-130.0,1045549,-130.0,microprice
IS,1,LONG,LONG_short,short,2026-04-20 17:15:00+00:00,2026-04-20 17:40:00+00:00,7140.875,7138.875,4.482142857142857,time,5,-2.0,-100.0,17.5,-105.0,True,True,2026-04-20 17:30:42+00:00,7139.375,-92.5,295561,-92.5,microprice
IS,-1,SHORT,SHORT_long,long,2026-04-20 18:50:00+00:00,2026-04-20 19:15:00+00:00,7143.875,7145.125,4.339285714285714,time,5,-1.25,-62.5,17.5,-67.5,True,True,2026-04-20 18:51:04+00:00,7145.375,-92.5,204299,-92.5,microprice
IS,1,LONG,LONG_long,long,2026-04-21 13:30:00+00:00,2026-04-21 13:30:00+00:00,7163.5,7155.75,3.767857142857143,stop,0,-7.75,-387.5,30.0,-392.5,False,False,,,,0,-392.5,stop
IS,1,LONG,LONG_long,long,2026-04-21 17:40:00+00:00,2026-04-21 18:05:00+00:00,7121.125,7118.125,9.232142857142858,time,5,-3.0,-150.0,17.5,-155.0,True,True,2026-04-21 17:47:12+00:00,7119.375,-105.0,689207,-105.0,microprice
IS,-1,SHORT,SHORT_short,short,2026-04-21 18:20:00+00:00,2026-04-21 18:45:00+00:00,7109.625,7113.375,9.321428571428571,time,5,-3.75,-187.5,17.5,-192.5,True,True,2026-04-21 18:26:15+00:00,7110.625,-67.5,324373,-67.5,microprice
IS,1,LONG,LONG_long,long,2026-04-21 18:55:00+00:00,2026-04-21 19:20:00+00:00,7121.625,7126.125,7.196428571428571,time,5,4.5,225.0,17.5,220.0,True,True,2026-04-21 18:56:40+00:00,7117.375,-230.0,623710,-230.0,microprice
IS,1,LONG,LONG_short,short,2026-04-21 19:25:00+00:00,2026-04-21 19:35:00+00:00,7134.625,7118.625,8.0,stop,2,-16.0,-800.0,17.5,-805.0,True,True,2026-04-21 19:34:34+00:00,7132.875,-105.0,158253,-105.0,microprice
