,instrument_id,ts_event,rtype,publisher_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol_x,expiration,strike_price,contract_multiplier,symbol_y,underlying_id,cfi,underlying_price,open_interest,mid_price,T,option_type,implied_vol,gamma,delta
18,42428246,2026-02-27 14:14:59.619228651+00:00,1,1,A,A,0,28.0,4,128,13827,1297849085,27.25,28.0,266,121,12,10,42428246,2026-03-20 13:30:00+00:00,6400.0,50,ESH6 P6400,42140878,OPAFPS,6862.375,17,27.625,0.05560562323091743,put,0.2655274332248436,0.0004808429106832474,-0.125768666980684
19,42428248,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,490.5,1,128,13489,1297846240,488.0,490.5,5,5,1,1,42428248,2026-03-20 13:30:00+00:00,6400.0,50,ESH6 C6400,42140878,OCAFPS,6862.375,482,489.25,0.05560562323091743,call,0.26612574851180204,0.0004810998753034825,0.8716724260606022
20,42428249,2026-02-27 14:14:59.446635675+00:00,1,1,M,A,0,400.0,6,128,14510,1297846860,398.0,400.0,6,6,1,1,42428249,2026-03-20 13:30:00+00:00,6500.0,50,ESH6 C6500,42140878,OCAFPS,6862.375,392,399.0,0.05560562323091743,call,0.24844373670358777,0.0006274489620477581,0.8285854542715445
21,42428250,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,313.5,1,128,14607,1297846242,311.5,313.5,6,6,1,1,42428250,2026-03-20 13:30:00+00:00,6600.0,50,ESH6 C6600,42140878,OCAFPS,6862.375,306,312.5,0.05560562323091743,call,0.23054539525183254,0.0008089868539813466,0.7700563088079616
22,42429010,2026-02-27 14:14:59.454995927+00:00,1,1,M,A,0,586.0,11,128,14662,1297847310,579.0,586.0,11,11,1,1,42429010,2026-03-20 13:30:00+00:00,6300.0,50,ESH6 C6300,42140878,OCAFPS,6862.375,577,582.5,0.05560562323091743,call,0.28499799190546055,0.00036798449761865664,0.9023465066788536
23,42429011,2026-02-27 14:14:59.645741559+00:00,1,1,A,B,0,89.25,3,128,11316,1297849444,89.25,89.75,7,2,3,2,42429011,2026-03-20 13:30:00+00:00,6900.0,50,ESH6 C6900,42140878,OCAFPS,6862.375,86,89.5,0.05560562323091743,call,0.1659979961499641,0.0014714551855738978,0.4512670839374106
24,42429064,2026-02-27 14:14:59.618975203+00:00,1,1,A,A,0,109.0,4,128,12955,1297849055,108.0,109.0,33,55,6,7,42429064,2026-03-20 13:30:00+00:00,6850.0,50,ESH6 P6850,42140878,OPAFPS,6862.375,78,108.5,0.05560562323091743,put,0.17800820996592576,0.0013792837631062538,-0.4735149118223865
25,42429674,2026-02-27 14:14:59.713259875+00:00,1,1,M,A,0,69.0,3,128,17977,1297850215,68.25,69.0,2,129,2,11,42429674,2026-03-20 13:30:00+00:00,6700.0,50,ESH6 P6700,42140878,OPAFPS,6862.375,46,68.625,0.05560562323091743,put,0.21113159583977972,0.0010253240921889275,-0.3058450158469702
26,42429675,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,657.0,1,128,14963,1297846250,620.5,657.5,120,120,1,1,42429675,2026-03-20 13:30:00+00:00,7500.0,50,ESH6 P7500,42140878,OPAFPS,6862.375,615,639.0,0.05560562323091743,put,0.18823427821071245,0.0001842527494167282,-0.9741136499534355
27,42429687,2026-02-27 14:14:59.771323159+00:00,1,1,M,B,0,39.25,25,128,15386,1297850325,39.5,40.0,70,1,6,1,42429687,2026-03-20 13:30:00+00:00,7000.0,50,ESH6 C7000,42140878,OCAFPS,6862.375,38,39.75,0.05560562323091743,call,0.14244290906667603,0.0014645574892257918,0.2822795139804947
28,42430442,2026-02-27 14:14:52.922730889+00:00,1,1,A,N,0,0.4,1,128,14358,1297811691,0.1,0.4,844,891,9,10,42430442,2026-03-20 13:30:00+00:00,7500.0,50,ESH6 C7500,42140878,OCAFPS,6862.375,0,0.25,0.05560562323091743,call,0.1395660840569954,4.8171112351765115e-05,0.0036380975294885093
29,42430453,2026-02-27 14:14:59.602887423+00:00,1,1,M,B,0,15.6,18,128,14394,1297848764,15.6,15.9,90,21,5,1,42430453,2026-03-20 13:30:00+00:00,6200.0,50,ESH6 P6200,42140878,OPAFPS,6862.375,10,15.75,0.05560562323091743,put,0.3005759017190974,0.00027884952504282976,-0.07096964218476402
30,42430454,2026-02-27 14:14:59.446528293+00:00,1,1,C,N,0,345.5,1,128,14895,1297846249,334.0,346.0,6,7,1,1,42430454,2026-03-20 13:30:00+00:00,7200.0,50,ESH6 P7200,42140878,OPAFPS,6862.375,290,340.0,0.05560562323091743,put,0.11607027869936307,0.0004656299557365132,-0.957190321085098
31,42430464,2026-02-27 14:14:57.987193899+00:00,1,1,M,A,0,2.8,33,128,12796,1297840922,2.55,2.8,145,291,6,9,42430464,2026-03-20 13:30:00+00:00,7200.0,50,ESH6 C7200,42140878,OCAFPS,6862.375,3,2.675,0.05560562323091743,call,0.11317586977308933,0.0004409346149376351,0.03695272797718673
