n_trades,total_pnl,profit_factor,win_rate,sharpe
111,-4905.0,0.7004808793221893,0.46846846846846846,-1.1587842357831448
159,6505.0,1.3279556339803378,0.5471698113207547,1.341267561802487
70,1475.0,1.1540671105888498,0.4857142857142857,0.49888564363238863
152,-8753.75,0.7037021366617305,0.4407894736842105,-1.5315366009326776
60,-3693.75,0.6259967092773067,0.43333333333333335,-1.1011111553704778
194,-11195.0,0.6656587150483444,0.3917525773195876,-1.9834262945174213
103,-3821.25,0.7912313050604385,0.44660194174757284,-0.6213797949809848
85,2662.5,1.2591240875912408,0.5294117647058824,0.7307123758306605
190,975.0,1.0324432243573745,0.4842105263157895,0.19874481834943789
232,-4922.5,0.8766136107281615,0.4870689655172414,-0.8941774425770814
158,-3058.75,0.8875407877200239,0.4240506329113924,-0.5017974860976518
75,-6168.75,0.554442036836403,0.48,-1.4729737072823565
159,6830.0,1.3196443196443197,0.49056603773584906,1.1519175227929792
138,-1071.25,0.9444408427876824,0.4927536231884058,-0.3280686659332056
213,-10077.5,0.7216064090610864,0.4084507042253521,-1.9296113016343452
67,7865.0,2.3610209820462904,0.5970149253731343,2.5206503643606606
199,-9057.5,0.7446613573895272,0.4371859296482412,-1.7869034335415532
120,-9425.0,0.5533175355450237,0.4166666666666667,-2.289662629378937
184,-2982.5,0.9046515345268542,0.4782608695652174,-0.6445731441701767
130,7168.75,1.4007406889805045,0.5076923076923077,1.9401463067914486
78,-2121.25,0.787954517056104,0.3974358974358974,-0.8482594711189965
157,-1041.25,0.9558301076409141,0.4840764331210191,-0.29336022986787663
58,-2371.25,0.7059826410415375,0.43103448275862066,-0.9338058486359123
182,-2953.75,0.8967941998602377,0.45604395604395603,-0.5999954662624591
132,2427.5,1.1087406909681392,0.4621212121212121,0.4377292567962823
114,-7845.0,0.6182946113611482,0.35964912280701755,-1.6022982153663168
105,1181.25,1.0805970149253732,0.42857142857142855,0.48390243677855527
89,-1607.5,0.894147666474607,0.48314606741573035,-0.46267648321530097
179,230.0,1.0072888607193788,0.46368715083798884,0.11689457126601872
