method,n_perms,p_sharpe,p_pf,p_pnl,sharpe_mean,sharpe_median,sharpe_q05,sharpe_q95,pf_mean,pf_median,pf_q95,pnl_mean,pnl_median
simple_shuffle,500,0.266,0.31,0.2,-0.3980878601914657,-0.37298951292152865,-2.166280902510344,1.3503795883079022,0.9348544615028164,0.9010577331159086,1.5024506821926833,-1444.2925,-1344.375
block_permutation,500,0.262,0.268,0.21,-0.4070022145846286,-0.41364825512977565,-2.1356236744601356,1.3955192531067206,0.9343905639973454,0.9066964282802639,1.3920145708368064,-2168.7375,-1875.0
