n_trades,total_pnl,profit_factor,win_rate,sharpe
75,-1556.25,0.8543007606787595,0.5333333333333333,-0.48626599319119296
92,-766.25,0.9510422490216436,0.4673913043478261,-0.19351224867418942
74,-3813.75,0.7181524249422633,0.4594594594594595,-1.1468151318756934
88,-3152.5,0.799523052464229,0.4318181818181818,-1.0092725450650253
79,-1095.0,0.933641390803727,0.4430379746835443,-0.22080027287362558
58,-5152.5,0.5562493271611584,0.46551724137931033,-1.504641258575542
73,4335.0,1.363979848866499,0.5616438356164384,0.6848791522190585
89,-563.75,0.9631836734693877,0.43820224719101125,-0.11991135189529836
85,2106.25,1.1818868739205526,0.5176470588235295,0.5976903945794007
77,-2528.75,0.8060216703423146,0.4675324675324675,-0.799340673668228
79,-3007.5,0.7538618925831202,0.5569620253164557,-0.8274538305435077
84,-3707.5,0.7707351008734638,0.42857142857142855,-0.8778561490844109
75,-6075.0,0.6336775457903068,0.4266666666666667,-1.7299387349089121
88,-1333.75,0.9092841353511307,0.45454545454545453,-0.389887757027196
67,-4397.5,0.6584466019417475,0.40298507462686567,-1.1237720131293587
69,-2426.25,0.7814435311338813,0.43478260869565216,-0.8260027441312159
73,2978.75,1.2647777777777778,0.5205479452054794,0.6078546727738451
80,-6875.0,0.5965967434355288,0.3625,-1.5134061575600626
95,-7300.0,0.6316619362976978,0.42105263157894735,-1.341494181247194
94,-895.0,0.9490101125195841,0.48936170212765956,-0.19559095901951887
79,-3057.5,0.7739998152083526,0.5316455696202531,-1.0165699161888115
84,480.0,1.038740920096852,0.4880952380952381,0.01340900223132507
86,-2242.5,0.8210116731517509,0.45348837209302323,-0.6465516711996926
93,-2540.0,0.8562433675274143,0.46236559139784944,-0.4332641141468861
73,-2646.25,0.7815047992568892,0.4383561643835616,-0.7227862585564552
80,1356.25,1.1277974087161367,0.4375,0.4171668222064397
73,-2552.5,0.7577411318068573,0.5068493150684932,-0.6209510258729238
66,-8417.5,0.3168306787054885,0.3484848484848485,-3.2222598780122382
85,875.0,1.06426735218509,0.5529411764705883,0.275684111186527
98,-1596.25,0.9085046929855987,0.5102040816326531,-0.2619296357012754
80,-1943.75,0.8698962516733602,0.4625,-0.49002421273986474
74,-4651.25,0.6813666723754067,0.43243243243243246,-1.1538092325172764
85,-7437.5,0.5884346683267622,0.49411764705882355,-1.878762884004399
85,-843.75,0.9398020155177027,0.5058823529411764,-0.2124877071621922
87,3815.0,1.3510466988727856,0.5287356321839081,1.2310982852210168
77,-2997.5,0.7846430175123484,0.4155844155844156,-0.6392551852125681
84,1180.0,1.0947600883356756,0.4880952380952381,0.3148820459623046
84,-326.25,0.9753680634201586,0.47619047619047616,0.09783859104098143
75,3506.25,1.3334918559029842,0.48,0.8664024119785494
80,2093.75,1.1794514677523034,0.55,0.6139869303185846
70,-893.75,0.9160403945514326,0.44285714285714284,-0.2436241641330668
78,5635.0,1.7231312159127365,0.5384615384615384,1.4591796073650456
73,2260.0,1.2156231365533692,0.589041095890411,0.6349766506459196
67,1465.0,1.1224916387959867,0.5223880597014925,0.3599528103815044
83,22.5,1.001776549545993,0.42168674698795183,-0.06480399168512842
82,6065.0,1.5419412487434379,0.4878048780487805,1.4126521380384778
86,-1992.5,0.8715241395986136,0.5,-0.4083549555561065
77,-6603.75,0.5812792264405168,0.44155844155844154,-1.4167613899176266
86,-15148.75,0.36192281366819357,0.3372093023255814,-2.9219407720488557
74,7880.0,1.8959636156907334,0.5405405405405406,1.9825137187026087
83,-952.5,0.9392247567395119,0.4939759036144578,-0.22404490820003534
67,346.25,1.0406814510207079,0.4626865671641791,0.07956010644307271
91,1670.0,1.1265031720481014,0.46153846153846156,0.38674839371623
71,3351.25,1.3164168535347576,0.4788732394366197,0.8580598319763855
95,-6968.75,0.6437927288991119,0.37894736842105264,-1.5164751184294922
81,1301.25,1.1008623195426799,0.5185185185185185,0.35463464373853193
78,410.0,1.0321631692488724,0.5256410256410257,0.12193062190254562
91,-130.0,0.9906826733560293,0.4725274725274725,0.008446593099954281
77,-8297.5,0.5102914053854666,0.4155844155844156,-2.165389690196187
77,-3172.5,0.7826496531643402,0.5064935064935064,-0.844706031043468
89,-2932.5,0.8381287518112193,0.47191011235955055,-0.6230614262665629
70,3437.5,1.335529526598341,0.5857142857142857,0.8355922237950654
82,6996.25,1.7376120189773325,0.5487804878048781,1.7277996144190824
79,-4426.25,0.7404529795499524,0.46835443037974683,-1.0699690973732232
76,-2848.75,0.7544181034482759,0.47368421052631576,-1.1021422969512567
86,1851.25,1.1369520991307565,0.5232558139534884,0.4239695635417441
95,-11618.75,0.48666261666758714,0.4421052631578947,-2.2841506323047525
82,-7022.5,0.6112110726643598,0.3902439024390244,-1.7768686839834908
77,-6116.25,0.558433354390398,0.42857142857142855,-1.507350881490244
76,757.5,1.0574298711144807,0.5,0.2922287244970783
79,-7.5,0.9993408766340766,0.5316455696202531,0.0986524185977325
95,-3050.0,0.8134271295305092,0.45263157894736844,-0.7296833488737323
83,-7652.5,0.5223531247561832,0.42168674698795183,-2.2995952740124053
72,2627.5,1.2231659411827158,0.5,0.5205525784770781
89,1180.0,1.085600290170475,0.47191011235955055,0.2907681614938648
78,-208.75,0.9827621800165153,0.46153846153846156,-0.26199497689753043
69,-1626.25,0.855700976042591,0.5072463768115942,-0.5241395646060154
79,2136.25,1.226387601006756,0.5443037974683544,0.5118797711610821
106,-9848.75,0.5753934037508085,0.44339622641509435,-1.9234146621217076
81,-5905.0,0.6280900645567628,0.4074074074074074,-1.335871481944809
85,4431.25,1.4032992036405008,0.5294117647058824,1.191902669184163
78,-6590.0,0.5663047054952287,0.3717948717948718,-1.9969182562195806
81,-855.0,0.9461671651188416,0.4567901234567901,-0.19334408374870415
72,4646.25,1.450218023255814,0.5277777777777778,1.4933896946454517
72,-78.75,0.9926616191030868,0.5138888888888888,-0.06350456478731036
78,1316.25,1.0947112790070157,0.5256410256410257,0.3234991992345702
73,-1796.25,0.8276978417266188,0.3835616438356164,-0.5393385780487037
69,30.0,1.0027176990148343,0.43478260869565216,-0.09791485399998201
81,-373.75,0.9685130581297389,0.4567901234567901,-0.1889391398971534
75,-600.0,0.9479674796747968,0.4666666666666667,-0.14010246293250136
68,316.25,1.0265951855355828,0.45588235294117646,0.05924603798632591
75,-2687.5,0.7837457252061959,0.4266666666666667,-0.6974993875534827
87,-2497.5,0.8260491032561379,0.4942528735632184,-0.5643857617099539
88,760.0,1.0507089241034195,0.4318181818181818,0.19939309404995825
90,-2318.75,0.8605472861223876,0.4111111111111111,-0.4964600274126001
81,3832.5,1.3904737646459502,0.5925925925925926,1.014630677353744
77,1021.25,1.0689800742992233,0.5324675324675324,0.3041406961245057
95,-4200.0,0.7409406322282189,0.47368421052631576,-1.1062726630148767
83,-3446.25,0.8008811209013433,0.46987951807228917,-0.6334411429307654
83,-2446.25,0.8258276966892133,0.46987951807228917,-0.6378104128532934
85,-5825.0,0.6099112673698309,0.4235294117647059,-1.7246651632153873
69,-545.0,0.9477531455961654,0.42028985507246375,-0.2043437512724218
63,-1546.25,0.8689618644067797,0.4444444444444444,-0.3687621816598949
73,-2721.25,0.7751961999173895,0.4383561643835616,-0.7811576828951184
74,-3345.0,0.7320248347686762,0.47297297297297297,-1.4840927868264489
77,4240.0,1.4054021752121428,0.5064935064935064,1.087704819033816
77,-272.5,0.9733006736068586,0.4805194805194805,-0.09881561721375
81,3913.75,1.3729600952948184,0.6296296296296297,0.8276497875325439
79,-4820.0,0.6867332845885123,0.4177215189873418,-1.0465243623638856
85,-6362.5,0.6497626092341567,0.4470588235294118,-1.1539089875862343
74,2611.25,1.2173325010403662,0.4864864864864865,0.8672598851141181
91,-423.75,0.9743395655135871,0.46153846153846156,-0.09912765887702242
98,5297.5,1.4288605545436146,0.5102040816326531,1.3002121533871471
78,-183.75,0.9811053984575836,0.48717948717948717,-0.07309654386410709
66,-605.0,0.9281259281259282,0.45454545454545453,-0.057700328326767414
82,-6503.75,0.6183525269566493,0.4268292682926829,-1.4452412175119205
78,6228.75,1.6388461538461536,0.5512820512820513,1.3878510493722123
64,-7770.0,0.3668771643919332,0.421875,-2.637767480375211
80,-3556.25,0.7663244353182751,0.375,-0.8521619889500802
85,-1556.25,0.9006305371538031,0.5176470588235295,-0.31077608518927474
78,3991.25,1.373406619108876,0.5641025641025641,1.363705263565186
86,-3655.0,0.7525389302640488,0.4883720930232558,-1.1596592655290003
83,-696.25,0.94633394353984,0.5060240963855421,-0.32820086585341524
98,-1065.0,0.930471682715848,0.47959183673469385,-0.3385617982490202
84,442.5,1.0348322345764045,0.44047619047619047,0.16509730227435235
77,-985.0,0.9160809371671992,0.4805194805194805,-0.3323803478940386
84,-5095.0,0.6720836685438455,0.4642857142857143,-1.2230913174321585
83,-3421.25,0.7983348069554966,0.42168674698795183,-0.7188488577735211
76,-2386.25,0.824022861356932,0.5131578947368421,-0.6790096978032742
72,2271.25,1.1975429441182865,0.4861111111111111,0.6437035563059444
79,-4963.75,0.6958020530105715,0.4177215189873418,-1.1069322587772195
84,5023.75,1.4459114612226784,0.5,1.3660814751092893
88,222.5,1.0177467597208376,0.48863636363636365,0.05002939251404127
68,2291.25,1.275473399458972,0.47058823529411764,0.8789742412934388
73,4222.5,1.4190547078526234,0.4657534246575342,1.1684602382022446
71,-1861.25,0.8357599823516435,0.4507042253521127,-0.603968147174741
71,-3555.0,0.7633155792276964,0.38028169014084506,-1.08627041107374
87,-166.25,0.9895069033530572,0.4827586206896552,-0.039420990804706964
102,-2091.25,0.8718204106650321,0.4803921568627451,-0.5517610216352934
76,438.75,1.0279525364338615,0.5,0.07905225619371405
70,-5118.75,0.5870310609116579,0.5142857142857142,-1.4323103274598799
82,-5885.0,0.5894663411231252,0.36585365853658536,-1.382496219354754
66,-9342.5,0.37669919105996164,0.4090909090909091,-2.900254342736038
69,-7213.75,0.5069628363947031,0.34782608695652173,-2.4375722429971116
71,-1830.0,0.82831007388296,0.5352112676056338,-0.55822483445444
58,541.25,1.0688394276629571,0.4827586206896552,0.20909419639398596
67,-3228.75,0.7549568352148752,0.4925373134328358,-0.7890581988893426
74,-5770.0,0.6226291693917593,0.35135135135135137,-1.6625686660915788
83,5797.5,1.4643572286744093,0.5542168674698795,1.398638514487774
89,-8951.25,0.5318689939203766,0.4606741573033708,-2.1832139364793313
91,-3111.25,0.7648559282002835,0.45054945054945056,-1.0950110298085436
81,-1942.5,0.8608025797205303,0.43209876543209874,-0.4474366914440305
76,-6173.75,0.6035479210146091,0.4473684210526316,-1.8715927145461628
73,-7721.25,0.5374766005241483,0.4520547945205479,-2.0810874978807474
83,4578.75,1.4050199026979213,0.5060240963855421,0.7565664688001384
73,6635.0,1.6928599399556195,0.5342465753424658,1.2127886730633615
65,-2681.25,0.7589616810877626,0.4461538461538462,-0.9224794855617269
74,617.5,1.055655700766111,0.47297297297297297,0.15701847484152903
86,2526.25,1.2365956450479982,0.5,0.7756667023681951
82,-1935.0,0.8610537653711516,0.4634146341463415,-0.5044804442662192
76,-86.25,0.9928630533719487,0.4473684210526316,-0.04229354178659193
80,4225.0,1.3554153522607781,0.4375,1.0212725002199792
85,1306.25,1.1130340724716064,0.5294117647058824,0.6009056479653717
75,-393.75,0.9719701014415375,0.5066666666666667,-0.14423390671682199
72,2777.5,1.2306414780984014,0.5,0.49776854672363335
74,-3307.5,0.7366378023290534,0.5540540540540541,-1.008777590657611
76,420.0,1.0377358490566038,0.5263157894736842,0.10412547775397761
65,-3431.25,0.7251702042450942,0.4307692307692308,-1.0033862986682507
85,-2475.0,0.842356687898089,0.47058823529411764,-0.5490533578923634
71,-3248.75,0.7513156635728638,0.4507042253521127,-0.7786802094322727
65,-1362.5,0.866568735463337,0.4461538461538462,-0.3857518728929798
76,-9605.0,0.43781094527363185,0.3157894736842105,-2.214494898477007
77,-2072.5,0.8543441974874814,0.45454545454545453,-0.3730539071681223
86,1488.75,1.0995236901479066,0.5,0.44382832848239007
74,-3270.0,0.7434036292300147,0.4594594594594595,-1.1424317551794363
78,1835.0,1.1554261514028588,0.48717948717948717,0.42571353059804107
95,1912.5,1.1729204339963835,0.45263157894736844,0.6097709263559806
73,-790.0,0.9341666666666667,0.4520547945205479,-0.1913541724985331
80,-1868.75,0.8599269183922046,0.475,-0.5209107211590764
83,-2821.25,0.8001947592067987,0.46987951807228917,-0.8765349224087171
80,5131.25,1.5428458079873049,0.525,1.22665089183051
78,-1552.5,0.8786279683377308,0.5256410256410257,-0.5152583125105555
84,-245.0,0.9824089032489679,0.42857142857142855,-0.12871617366622873
72,3446.25,1.4233722358722358,0.5416666666666666,0.9880085525427439
75,-2731.25,0.7655579399141631,0.3333333333333333,-0.7557841862742835
94,-3613.75,0.7611336032388663,0.39361702127659576,-1.108805155380197
76,-5661.25,0.6365168539325844,0.40789473684210525,-1.5590254889955357
91,3526.25,1.2816493610223643,0.46153846153846156,1.019168902479608
91,-6480.0,0.6298200514138818,0.43956043956043955,-1.754932040258131
78,-915.0,0.9464207290294246,0.44871794871794873,-0.21509364485812682
92,-1491.25,0.9067895929369482,0.5,-0.3445060218907335
69,242.5,1.029322853688029,0.43478260869565216,0.11225259923888449
97,-6141.25,0.6499715018523796,0.44329896907216493,-1.3275812947697383
80,-1256.25,0.8948194662480377,0.4375,-0.436100735146136
83,-3452.5,0.7712439953619349,0.5060240963855421,-1.1611986390355677
92,258.75,1.0217619848612278,0.4782608695652174,0.06779567390966076
81,1032.5,1.0719512195121952,0.5061728395061729,0.43200097708064966
86,-5267.5,0.6376612209802236,0.36046511627906974,-1.525939976796939
82,-391.25,0.9641753462286826,0.5365853658536586,-0.010337495111299225
66,107.5,1.0097472515017567,0.4393939393939394,0.15143109267448407
75,-1900.0,0.8470209339774557,0.48,-0.5939194740791479
77,3821.25,1.403777572315414,0.5584415584415584,1.0747235141683231
68,6785.0,2.214046074703646,0.5735294117647058,2.135184966407806
83,4116.25,1.3829515059890685,0.5662650602409639,0.8733897039121514
73,2816.25,1.2916504854368933,0.5205479452054794,0.7156459237133376
79,3586.25,1.3102963443651308,0.5063291139240507,0.613082540813828
70,-4775.0,0.6687765542356715,0.32857142857142857,-1.0146917143386294
76,1126.25,1.094682639764607,0.4868421052631579,0.294914577457722
89,-7507.5,0.6057502953918865,0.42696629213483145,-2.156082765937716
79,-7301.25,0.5341362258733451,0.4050632911392405,-2.1377605292366457
75,5287.5,1.5784219882401203,0.5066666666666667,1.1790632492524042
72,1196.25,1.1431135038133693,0.5416666666666666,0.4455615122360958
76,-10811.25,0.33972058935796623,0.32894736842105265,-3.098274506585372
70,1793.75,1.1833163004598877,0.5428571428571428,0.5178596981997925
78,316.25,1.0283632286995517,0.48717948717948717,0.09077351351180792
84,-6288.75,0.5522029372496662,0.40476190476190477,-1.783270206732499
82,-8035.0,0.5326790258087968,0.3902439024390244,-2.0537219890936966
82,-1978.75,0.884275166313327,0.43902439024390244,-0.3627447576997704
64,-7095.0,0.47160677713647364,0.40625,-2.2300001225792756
75,-6775.0,0.5376610082743325,0.44,-1.864497176166311
69,1961.25,1.1663662389990457,0.5072463768115942,0.49668803349645113
73,-533.75,0.9515873015873015,0.4520547945205479,-0.15386015751138346
68,160.0,1.016651489527774,0.5147058823529411,0.050898085824126964
60,262.5,1.038328162073371,0.48333333333333334,0.10014724529284968
85,2218.75,1.1988127240143371,0.4470588235294118,0.6018407898594118
77,-2928.75,0.7567483388704319,0.5064935064935064,-0.9046926262949092
74,-395.0,0.9671415202246023,0.4189189189189189,-0.09954645920252839
70,-3356.25,0.7361179361179361,0.42857142857142855,-1.06833965727859
85,5362.5,1.4553656724339241,0.4823529411764706,1.0968941691736251
85,593.75,1.042812077512393,0.47058823529411764,0.17577471083788726
82,3215.0,1.2725731242051717,0.524390243902439,0.8278229705278252
84,-7901.25,0.5219692959237692,0.38095238095238093,-1.9199853149010067
76,-5205.0,0.6727958510136729,0.4868421052631579,-1.3994661346456396
84,-1120.0,0.9264609323703218,0.4523809523809524,-0.16276070516826854
90,-9062.5,0.48694359917910973,0.45555555555555555,-2.3222277157415303
67,-2866.25,0.7352499711349728,0.417910447761194,-0.9880490522905451
77,-3241.25,0.7456097321691357,0.45454545454545453,-1.0762069312981504
86,-4355.0,0.7043197827378426,0.45348837209302323,-1.4134558920885356
