cell,sample,n,sessions_in_sample,win_rate,mean,median,std,sum,sharpe,max_dd,mean_atr,exit_stop,exit_target,exit_time,exit_sess,exit_mix
LONG_long,IS,44,73,0.45454545454545453,91.16477272727273,-80.0,729.0761216182441,4011.25,1.5410593242818338,-2768.75,6.6566558441558445,11,4,27,2,s25/t9/i61/c5
LONG_long,OOS,33,72,0.5757575757575758,74.54545454545455,45.0,378.8579954043707,2460.0,2.1146363937706703,-998.75,6.419372294372293,2,0,29,2,s6/t0/i88/c6
LONG_short,IS,45,73,0.6,272.5,26.25,672.2011629037032,12262.5,5.052570061422856,-1555.0,6.767857142857143,9,2,33,1,s20/t4/i73/c2
LONG_short,OOS,29,72,0.5862068965517241,128.4051724137931,38.75,625.7278704986052,3723.75,2.0674263165314324,-1553.75,6.992610837438424,3,1,25,0,s10/t3/i86/c0
SHORT_long,IS,43,73,0.46511627906976744,159.24418604651163,-5.0,600.4483158648352,6847.5,3.2311790356885712,-1127.5,5.8085548172757475,8,5,30,0,s19/t12/i70/c0
SHORT_long,OOS,48,72,0.3958333333333333,-86.77083333333333,-108.125,575.8750183770608,-4165.0,-1.952990677049653,-5987.5,6.181919642857143,15,3,29,1,s31/t6/i60/c2
SHORT_short,IS,42,73,0.42857142857142855,36.36904761904762,-36.25,561.548912031667,1527.5,0.7798441594138736,-4078.75,5.859693877551021,14,4,22,2,s33/t10/i52/c5
SHORT_short,OOS,48,72,0.4583333333333333,44.479166666666664,-80.0,569.0981710391818,2135.0,1.013034166395473,-1826.25,5.928199404761905,9,3,34,2,s19/t6/i71/c4
